DATA_REF_SYNTAX,SUB_EX_ID,ENS_MEMBER,TABLE_ID,VAR_NAME,GRID_LABEL,VERSION_NO,HANDLE,SUBPANEL
CMIP6.PMIP.NERC.HadGEM3-GC31-LL.midHolocene,none,r1i1p1f1,Amon,tas,gn,20210111,hdl:21.14100/3b03cc8f-514e-44ca-ad60-7df6f2de6d81,
CMIP6.PMIP.NERC.HadGEM3-GC31-LL.lig127k,none,r1i1p1f1,Amon,tas,gn,20210114,hdl:21.14100/95fa33b3-5c1b-4f11-a466-1824dfac32e4,
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.lgm,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/4b93047e-ae9a-4a56-9b1f-6bc639373c52,
CMIP6.PMIP.CSIRO.ACCESS-ESM1-5.lig127k,none,r1i1p1f1,Amon,tas,gn,20191206,hdl:21.14100/a72f9d41-5d91-42a1-ac1d-7388e3ea14a0,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.piControl,none,r1i1p1f1,Amon,tas,gn,20191112,hdl:21.14100/6e9eac06-87dd-40b0-8ceb-c95a76538698,
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.lig127k,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/60ebe0bc-411d-4728-b5f1-306a26772a01,
CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.piControl,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/da909048-e78e-4153-8230-69054d9fd5e5,
CMIP6.PMIP.NCAR.CESM2.lig127k,none,r1i1p1f1,Amon,tas,gn,20190923,hdl:21.14100/750a78e8-dbdb-456c-8358-7614bd59ee55,
CMIP6.PMIP.NCAR.CESM2.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190923,hdl:21.14100/01079db4-69a4-46b3-a298-d1785dc3e74b,
CMIP6.PMIP.NCAR.CESM2.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gn,20200110,hdl:21.14100/98e758b7-6ea3-467d-9780-1e578488e78a,
CMIP6.CMIP.NCAR.CESM2.piControl,none,r1i1p1f1,Amon,tas,gn,20190320,hdl:21.14100/613911cb-8d9b-44a2-9664-2eee8f522acb,
CMIP6.PMIP.CNRM-CERFACS.CNRM-CM6-1.lig127k,none,r1i1p1f2,Amon,tas,gr,20200212,hdl:21.14100/787a1504-4ead-454d-9955-8fe0f6c8e3a6,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.piControl,none,r1i1p1f2,Amon,tas,gr,20180814,hdl:21.14100/f471a8e2-02e2-4c2f-accd-954700b3fc1f,
