cmip5.output1.BCC.bcc-csm1-1.midHolocene,mon,atmos,Amon,r1i1p1,v1,tas,_bcc-csm1-1_midHolocene_r1i1p1_000101-010012.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.1pctCO2,mon,atmos,Amon,r1i1p1,v20110701,tas,_CNRM-CM5_1pctCO2_r1i1p1_185001-189912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.1pctCO2,mon,atmos,Amon,r1i1p1,v20110701,tas,_CNRM-CM5_1pctCO2_r1i1p1_190001-194912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.1pctCO2,mon,atmos,Amon,r1i1p1,v20110701,tas,_CNRM-CM5_1pctCO2_r1i1p1_195001-198912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.1pctCO2,mon,atmos,Amon,r1i1p1,v20130401,tas,_CNRM-CM5-2_1pctCO2_r1i1p1_185001-189912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.1pctCO2,mon,atmos,Amon,r1i1p1,v20130401,tas,_CNRM-CM5-2_1pctCO2_r1i1p1_190001-194912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.1pctCO2,mon,atmos,Amon,r1i1p1,v20130401,tas,_CNRM-CM5-2_1pctCO2_r1i1p1_195001-198912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.historical,mon,atmos,Amon,r1i1p1,v20130401,tas,_CNRM-CM5-2_historical_r1i1p1_185001-189912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.historical,mon,atmos,Amon,r1i1p1,v20130401,tas,_CNRM-CM5-2_historical_r1i1p1_190001-194912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.historical,mon,atmos,Amon,r1i1p1,v20130401,tas,_CNRM-CM5-2_historical_r1i1p1_195001-199912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.historical,mon,atmos,Amon,r1i1p1,v20130401,tas,_CNRM-CM5-2_historical_r1i1p1_200001-200512.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_185001-189912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_190001-194912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_195001-198912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_199001-203912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_204001-208912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_209001-213912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_214001-218912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5-2.piControl,mon,atmos,Amon,r1i1p1,v20130402,tas,_CNRM-CM5-2_piControl_r1i1p1_219001-220812.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.abrupt4xCO2,mon,atmos,Amon,r1i1p1,v20110701,tas,_CNRM-CM5_abrupt4xCO2_r1i1p1_185001-189912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.abrupt4xCO2,mon,atmos,Amon,r1i1p1,v20110701,tas,_CNRM-CM5_abrupt4xCO2_r1i1p1_190001-194912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.abrupt4xCO2,mon,atmos,Amon,r1i1p1,v20110701,tas,_CNRM-CM5_abrupt4xCO2_r1i1p1_195001-199912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.historical,mon,atmos,Amon,r1i1p1,v20110901,tas,_CNRM-CM5_historical_r1i1p1_185001-189912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.historical,mon,atmos,Amon,r1i1p1,v20110901,tas,_CNRM-CM5_historical_r1i1p1_190001-194912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.historical,mon,atmos,Amon,r1i1p1,v20110901,tas,_CNRM-CM5_historical_r1i1p1_195001-200512.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.lgm,mon,atmos,Amon,r1i1p1,v20120530,tas,_CNRM-CM5_lgm_r1i1p1_180001-184912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.lgm,mon,atmos,Amon,r1i1p1,v20120530,tas,_CNRM-CM5_lgm_r1i1p1_185001-189912.nc
cmip5.output1.CNRM-CERFACS.CNRM-CM5.lgm,mon,atmos,Amon,r1i1p1,v20120530,tas,_CNRM-CM5_lgm_r1i1p1_190001-194912.nc
