DATA_REF_SYNTAX,SUB_EX_ID,ENS_MEMBER,TABLE_ID,VAR_NAME,GRID_LABEL,VERSION_NO,HANDLE,SUBPANEL
CMIP6.PMIP.NUIST.NESM3.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190813,hdl:21.14100/549aa25e-88a2-4946-bda8-a88b1c32d807,b
CMIP6.PMIP.NUIST.NESM3.lig127k,none,r1i1p1f1,Amon,tas,gn,20190909,hdl:21.14100/c9bb5593-6a54-47ac-bf5e-f90ed0986553,b
CMIP6.PMIP.NERC.HadGEM3-GC31-LL.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gn,20201222,hdl:21.14100/41a6a4d4-eac9-473a-8090-267714d4460c,b
CMIP6.PMIP.NERC.HadGEM3-GC31-LL.midHolocene,none,r1i1p1f1,Amon,tas,gn,20210111,hdl:21.14100/3b03cc8f-514e-44ca-ad60-7df6f2de6d81,b
CMIP6.PMIP.NERC.HadGEM3-GC31-LL.lig127k,none,r1i1p1f1,Amon,tas,gn,20210114,hdl:21.14100/95fa33b3-5c1b-4f11-a466-1824dfac32e4,b
CMIP6.PMIP.NCC.NorESM2-LM.midHolocene,none,r1i1p1f1,Amon,tas,gn,20191108,hdl:21.14100/77cbc8dd-4155-4a20-8de2-1ea1c7067de4,b
CMIP6.PMIP.NCC.NorESM2-LM.lig127k,none,r1i1p1f1,Amon,tas,gn,20191108,hdl:21.14100/a34c3beb-2c8c-4267-a022-57e05d5ff0ae,b
CMIP6.PMIP.NCC.NorESM1-F.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gn,20190920,hdl:21.14100/c1e08282-7903-427c-86a5-9e3d2fa2fcbe,b
CMIP6.PMIP.NCC.NorESM1-F.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190920,hdl:21.14100/f7321f0b-10a2-4af7-9d99-b237dd96e8e8,b
CMIP6.PMIP.NCC.NorESM1-F.lig127k,none,r1i1p1f1,Amon,tas,gn,20190920,hdl:21.14100/7b3e0a32-fa17-4cc9-9eee-81ff8f4f0e91,b
CMIP6.PMIP.NCAR.CESM2.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gn,20200110,hdl:21.14100/98e758b7-6ea3-467d-9780-1e578488e78a,b
CMIP6.PMIP.NCAR.CESM2.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190923,hdl:21.14100/01079db4-69a4-46b3-a298-d1785dc3e74b,b
CMIP6.PMIP.NCAR.CESM2.lig127k,none,r1i1p1f1,Amon,tas,gn,20190923,hdl:21.14100/750a78e8-dbdb-456c-8358-7614bd59ee55,b
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gn,20190626,hdl:21.14100/8500493a-0188-4a24-8f3f-765450fe5695,b
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190916,hdl:21.14100/d1ad38c2-3db0-48b5-8438-805c908d4d1f,b
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.lig127k,none,r1i1p1f1,Amon,tas,gn,20190916,hdl:21.14100/942c4af1-28f3-4cb1-b9ec-29a1868e36ff,b
CMIP6.PMIP.MRI.MRI-ESM2-0.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190919,hdl:21.14100/080c6c9e-cd31-429a-b864-53d23c4b439c,b
CMIP6.PMIP.MPI-M.MPI-ESM1-2-LR.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190710,hdl:21.14100/1546ae60-04f6-4170-afcc-2f7bd47b2226,b
CMIP6.PMIP.MPI-M.MPI-ESM1-2-LR.lgm,none,r1i1p1f1,Amon,tas,gn,20190710,hdl:21.14100/4619cfde-9600-4d82-8e4f-e58c42da80de,"a,b"
CMIP6.PMIP.MIROC.MIROC-ES2L.midHolocene,none,r1i1p1f2,Amon,tas,gn,20191002,hdl:21.14100/0c6c86b4-2070-4615-a3d4-bd83aae880f9,b
CMIP6.PMIP.MIROC.MIROC-ES2L.lig127k,none,r1i1p1f2,Amon,tas,gn,20191118,hdl:21.14100/cf8395ef-de92-464d-b278-5e43a2436dc8,b
CMIP6.PMIP.MIROC.MIROC-ES2L.lgm,none,r1i1p1f2,Amon,tas,gn,20191002,hdl:21.14100/a670cdef-0af2-45e5-9e37-1e68f67c8c0f,"a,b"
CMIP6.PMIP.IPSL.IPSL-CM6A-LR.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gr,20190118,hdl:21.14100/5fde8301-1cb8-40f4-ba93-c34eb318749a,b
CMIP6.PMIP.IPSL.IPSL-CM6A-LR.midHolocene,none,r1i1p1f1,Amon,tas,gr,20180926,hdl:21.14100/f03f3f56-4d1b-4308-9d2d-33283e1a9fb3,b
CMIP6.PMIP.IPSL.IPSL-CM6A-LR.lig127k,none,r1i1p1f1,Amon,tas,gr,20180926,hdl:21.14100/bde8ea2f-255c-41f0-b6b3-233c4e71959a,b
CMIP6.PMIP.INM.INM-CM4-8.midHolocene,none,r1i1p1f1,Amon,tas,gr1,20190802,hdl:21.14100/f729d249-f56d-4dfb-9e49-289e6f6882a6,b
CMIP6.PMIP.INM.INM-CM4-8.lig127k,none,r1i1p1f1,Amon,tas,gr1,20190802,hdl:21.14100/20793bc4-3c85-4cc6-ad01-347f8ad53716,b
CMIP6.PMIP.INM.INM-CM4-8.lgm,none,r1i1p1f1,Amon,tas,gr1,20190802,hdl:21.14100/a273885a-e57c-405e-9504-0266514d1133,"a,b"
CMIP6.PMIP.EC-Earth-Consortium.EC-Earth3-LR.midHolocene,none,r1i1p1f1,Amon,tas,gr,20200409,hdl:21.14100/d5dd22d9-5cf5-41e8-8849-c9a315612409,b
CMIP6.PMIP.EC-Earth-Consortium.EC-Earth3-LR.lig127k,none,r1i1p1f1,Amon,tas,gr,20200409,hdl:21.14100/dee1a8a5-f2a2-4d8e-8230-024798787697,b
CMIP6.PMIP.CSIRO.ACCESS-ESM1-5.lig127k,none,r1i1p1f1,Amon,tas,gn,20191206,hdl:21.14100/a72f9d41-5d91-42a1-ac1d-7388e3ea14a0,b
CMIP6.PMIP.CNRM-CERFACS.CNRM-CM6-1.lig127k,none,r1i1p1f2,Amon,tas,gr,20200212,hdl:21.14100/787a1504-4ead-454d-9955-8fe0f6c8e3a6,b
CMIP6.PMIP.CAS.FGOALS-g3.midHolocene,none,r1i1p1f1,Amon,tas,gn,20191024,hdl:21.14100/57dfad01-6bc3-4c14-a626-ef3f8704dcaa,b
CMIP6.PMIP.CAS.FGOALS-g3.lig127k,none,r1i1p1f1,Amon,tas,gn,20191030,hdl:21.14100/a912e4b8-bd0a-489e-9fc6-49c6f0aeae48,b
CMIP6.PMIP.CAS.FGOALS-f3-L.midHolocene,none,r1i1p1f1,Amon,tas,gr,20191025,hdl:21.14100/44e876c0-6185-4ed3-b7b6-8db8389b4607,b
CMIP6.PMIP.CAS.FGOALS-f3-L.lig127k,none,r1i1p1f1,Amon,tas,gr,20191025,hdl:21.14100/f8b0de6c-e66f-4765-b4ae-e6c96c9d5d48,b
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.lig127k,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/60ebe0bc-411d-4728-b5f1-306a26772a01,b
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.lgm,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/4b93047e-ae9a-4a56-9b1f-6bc639373c52,"a,b"
CMIP6.CMIP.NUIST.NESM3.piControl,none,r1i1p1f1,Amon,tas,gn,20190708,hdl:21.14100/c4d19a0f-7989-447b-9690-ac600918d73f,b
CMIP6.CMIP.NUIST.NESM3.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gn,20190707,hdl:21.14100/d1ce6445-eb91-4033-a4c9-190237c3c942,b
CMIP6.CMIP.NUIST.NESM3.1pctCO2,none,r1i1p1f1,Amon,tas,gn,20190707,hdl:21.14100/161a4ca2-ee39-4bb6-8305-0b9056d197ed,b
CMIP6.CMIP.NCC.NorESM2-LM.piControl,none,r1i1p1f1,Amon,tas,gn,20210118,hdl:21.14100/abaf3407-3ef8-4689-95d9-5e59a91463e6,b
CMIP6.CMIP.NCC.NorESM2-LM.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gn,20210118,hdl:21.14100/f3e43800-8083-41a7-ae3c-627cbfd31dda,b
CMIP6.CMIP.NCC.NorESM2-LM.1pctCO2,none,r1i1p1f1,Amon,tas,gn,20190815,hdl:21.14100/25950369-792f-40d9-a573-abb37e9ad8ec,b
CMIP6.CMIP.NCC.NorESM1-F.piControl,none,r1i1p1f1,Amon,tas,gn,20190920,hdl:21.14100/4e9fff87-de90-43ec-aa77-9cba6ab4188e,b
CMIP6.CMIP.NCAR.CESM2.piControl,none,r1i1p1f1,Amon,tas,gn,20190320,hdl:21.14100/613911cb-8d9b-44a2-9664-2eee8f522acb,b
CMIP6.CMIP.NCAR.CESM2.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gn,20190828,hdl:21.14100/81280768-5338-4e76-a8cc-478d15b08664,b
CMIP6.CMIP.NCAR.CESM2.1pctCO2,none,r1i1p1f1,Amon,tas,gn,20190425,hdl:21.14100/36ba4513-402b-49cf-9d9e-307063ee94f8,b
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.piControl,none,r1i1p1f1,Amon,tas,gn,20180824,hdl:21.14100/b2c1c46d-69f1-42af-8055-5d11d26f20c4,b
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gn,20181002,hdl:21.14100/5a56a8c4-c09a-4e5c-ae53-fd66055789fa,b
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.1pctCO2,none,r1i1p1f1,Amon,tas,gn,20180905,hdl:21.14100/ffb63c32-a5b1-498f-bf45-0130fe33a359,b
CMIP6.CMIP.MRI.MRI-ESM2-0.piControl,none,r1i1p1f1,Amon,tas,gn,20190222,hdl:21.14100/a0bd7d8f-4785-4687-b510-fd87808051b6,b
CMIP6.CMIP.MRI.MRI-ESM2-0.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gn,20190308,hdl:21.14100/43a8b10f-48ae-4e8f-8e21-5119ad2c94de,b
CMIP6.CMIP.MRI.MRI-ESM2-0.1pctCO2,none,r1i1p1f1,Amon,tas,gn,20190308,hdl:21.14100/bd29e44f-e7b8-4547-8ebc-09c4f981e259,b
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.piControl,none,r1i1p1f1,Amon,tas,gn,20190710,hdl:21.14100/6e55f8ff-5806-428e-a182-32e70be98e87,"a,b"
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.1pctCO2,none,r1i1p1f1,Amon,tas,gn,20190710,hdl:21.14100/062520a0-f3d8-41bd-8b94-3fe0e4a6ab0e,b
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.piControl,none,r1i1p1f1,Amon,tas,gn,20190628,hdl:21.14100/fc63baac-ff22-4635-a7cc-eb02567d4e54,b
CMIP6.CMIP.MIROC.MIROC-ES2L.piControl,none,r1i1p1f2,Amon,tas,gn,20190823,hdl:21.14100/7d717ae8-4aaa-4370-bb1b-30c3a28374e1,"a,b"
CMIP6.CMIP.MIROC.MIROC-ES2L.abrupt-4xCO2,none,r1i1p1f2,Amon,tas,gn,20190823,hdl:21.14100/bf098879-b11e-489c-9dac-3c6a61bed1de,b
CMIP6.CMIP.MIROC.MIROC-ES2L.1pctCO2,none,r1i1p1f2,Amon,tas,gn,20190823,hdl:21.14100/ed3976f1-f106-42de-9cf2-1474d1947cdb,b
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.piControl,none,r1i1p1f1,Amon,tas,gr,20180802,hdl:21.14100/46024c03-5f16-49b2-8082-b19dac0983c0,b
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gr,20180727,hdl:21.14100/7acc29f2-abb6-4839-84ee-5b32e0e6b0fb,b
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.1pctCO2,none,r1i1p1f1,Amon,tas,gr,20180727,hdl:21.14100/2fb26980-7ece-4923-a408-2e582a20b0c8,b
CMIP6.CMIP.INM.INM-CM4-8.piControl,none,r1i1p1f1,Amon,tas,gr1,20190605,hdl:21.14100/fb91e763-bc90-4b56-991b-db0205d03c25,"a,b"
CMIP6.CMIP.INM.INM-CM4-8.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gr1,20190529,hdl:21.14100/0b4c8042-efcf-49fe-887d-9e491918810b,b
CMIP6.CMIP.INM.INM-CM4-8.1pctCO2,none,r1i1p1f1,Amon,tas,gr1,20190530,hdl:21.14100/acf2a3bb-da22-411c-a633-d66e96b1fefa,b
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-LR.piControl,none,r1i1p1f1,Amon,tas,gr,20200409,hdl:21.14100/1c625e58-9ee5-4000-b35e-adc0c227dbc3,b
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.piControl,none,r1i1p1f1,Amon,tas,gn,20191112,hdl:21.14100/6e9eac06-87dd-40b0-8ceb-c95a76538698,b
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.abrupt-4xCO2,none,r1i1p1f1,Amon,tas,gn,20191115,hdl:21.14100/da5998e2-7353-4602-943e-9e5625876fec,b
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.1pctCO2,none,r1i1p1f1,Amon,tas,gn,20191115,hdl:21.14100/b3f4469e-2417-4123-bfb9-ef2cc8415cdd,b
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.piControl,none,r1i1p1f2,Amon,tas,gr,20180814,hdl:21.14100/f471a8e2-02e2-4c2f-accd-954700b3fc1f,b
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.abrupt-4xCO2,none,r1i1p1f2,Amon,tas,gr,20180705,hdl:21.14100/d23e43fb-e963-4494-bb87-448a22798693,b
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.1pctCO2,none,r1i1p1f2,Amon,tas,gr,20180626,hdl:21.14100/fca38598-d98e-4309-b511-71848e255a8a,b
