DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE,SUBPANEL
cmip5.output1.BCC.bcc-csm1-1.midHolocene,mon,atmos,Amon,r1i1p1,v1,tas,,b
cmip5.output1.CNRM-CERFACS.CNRM-CM5.abrupt4xCO2,mon,atmos,Amon,r1i1p1,v20110701,tas,,b
cmip5.output1.CNRM-CERFACS.CNRM-CM5.lgm,mon,atmos,Amon,r1i1p1,v20120530,tas,,"a,b"
cmip5.output1.CNRM-CERFACS.CNRM-CM5.midHolocene,mon,atmos,Amon,r1i1p1,v20110927,tas,,b
cmip5.output1.CNRM-CERFACS.CNRM-CM5.piControl,mon,atmos,Amon,r1i1p1,v20110701,tas,,"a,b"
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.1pctCO2,mon,atmos,Amon,r1i1p1,v20120323,tas,,b
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.midHolocene,mon,atmos,Amon,r1i1p1,v20120323,tas,,b
cmip5.output1.IPSL.IPSL-CM5A-LR.1pctCO2,mon,atmos,Amon,r1i1p1,v20110427,tas,,b
cmip5.output1.IPSL.IPSL-CM5A-LR.lgm,mon,atmos,Amon,r1i1p1,v20120114,tas,,"a,b"
cmip5.output1.IPSL.IPSL-CM5A-LR.midHolocene,mon,atmos,Amon,r1i1p1,v20111119,tas,,b
cmip5.output1.IPSL.IPSL-CM5A-LR.piControl,mon,atmos,Amon,r1i1p1,v20130506,tas,,"a,b"
cmip5.output1.LASG-CESS.FGOALS-g2.1pctCO2,mon,atmos,Amon,r1i1p1,v20161204,tas,,b
cmip5.output1.LASG-CESS.FGOALS-g2.abrupt4xCO2,mon,atmos,Amon,r1i1p1,v1,tas,,b
cmip5.output1.LASG-CESS.FGOALS-g2.historical,mon,atmos,Amon,r1i1p1,v1,tas,,b
cmip5.output1.LASG-CESS.FGOALS-g2.lgm,mon,atmos,Amon,r1i1p1,v1,tas,,"a,b"
cmip5.output1.LASG-CESS.FGOALS-g2.midHolocene,mon,atmos,Amon,r1i1p1,v20161204,tas,,b
cmip5.output1.LASG-CESS.FGOALS-g2.piControl,mon,atmos,Amon,r1i1p1,v20161204,tas,,b
cmip5.output1.LASG-IAP.FGOALS-s2.1pctCO2,mon,atmos,Amon,r1i1p1,v20161204,tas,,"a,b"
cmip5.output1.LASG-IAP.FGOALS-s2.midHolocene,mon,atmos,Amon,r1i1p1,v20161204,tas,,b
cmip5.output1.LASG-IAP.FGOALS-s2.piControl,mon,atmos,Amon,r1i1p1,v20161204,tas,,b
cmip5.output1.MIROC.MIROC-ESM.1pctCO2,mon,atmos,Amon,r1i1p1,v20120710,tas,,b
cmip5.output1.MIROC.MIROC-ESM.lgm,mon,atmos,Amon,r1i1p1,v20120710,tas,,"a,b"
cmip5.output1.MIROC.MIROC-ESM.midHolocene,mon,atmos,Amon,r1i1p1,v20120710,tas,,b
cmip5.output1.MIROC.MIROC-ESM.piControl,mon,atmos,Amon,r1i1p1,v20120710,tas,,"a,b"
cmip5.output1.MOHC.HadGEM2-CC.midHolocene,mon,atmos,Amon,r1i1p1,v20120222,tas,,b
cmip5.output1.MOHC.HadGEM2-CC.piControl,mon,atmos,Amon,r1i1p1,v20111109,tas,,b
cmip5.output1.MOHC.HadGEM2-ES.1pctCO2,mon,atmos,Amon,r1i1p1,v20110330,tas,,b
cmip5.output1.MOHC.HadGEM2-ES.midHolocene,mon,atmos,Amon,r1i1p1,v20120222,tas,,b
cmip5.output1.MOHC.HadGEM2-ES.piControl,mon,atmos,Amon,r1i1p1,v20130114,tas,,b
cmip5.output1.MPI-M.MPI-ESM-P.1pctCO2,mon,atmos,Amon,r1i1p1,v20111028,tas,,b
cmip5.output1.MPI-M.MPI-ESM-P.lgm,mon,atmos,Amon,r1i1p1,v20120602,tas,,"a,b"
cmip5.output1.MPI-M.MPI-ESM-P.midHolocene,mon,atmos,Amon,r1i1p1,v20120602,tas,,b
cmip5.output1.MPI-M.MPI-ESM-P.piControl,mon,atmos,Amon,r1i1p1,v20120602,tas,,"a,b"
cmip5.output1.MRI.MRI-CGCM3.1pctCO2,mon,atmos,Amon,r1i1p1,v20120701,tas,,b
cmip5.output1.MRI.MRI-CGCM3.lgm,mon,atmos,Amon,r1i1p1,v20120701,tas,,"a,b"
cmip5.output1.MRI.MRI-CGCM3.midHolocene,mon,atmos,Amon,r1i1p1,v20120701,tas,,b
cmip5.output1.MRI.MRI-CGCM3.piControl,mon,atmos,Amon,r1i1p1,v20120701,tas,,"a,b"
cmip5.output1.NASA-GISS.GISS-E2-R.1pctCO2,mon,atmos,Amon,r1i1p1,v20160923,tas,,b
cmip5.output1.NASA-GISS.GISS-E2-R.lgm,mon,atmos,Amon,r1i1p150,v20120516,tas,,"a,b"
cmip5.output1.NASA-GISS.GISS-E2-R.midHolocene,mon,atmos,Amon,r1i1p1,v20120716,tas,,b
cmip5.output1.NASA-GISS.GISS-E2-R.piControl,mon,atmos,Amon,r1i1p1,v20161004,tas,,"a,b"
cmip5.output1.NCAR.CCSM4.1pctCO2,mon,atmos,Amon,r1i1p1,v20121031,tas,,b
cmip5.output1.NCAR.CCSM4.abrupt4xCO2,mon,atmos,Amon,r1i1p1,v20120604,tas,,b
cmip5.output1.NCAR.CCSM4.lgm,mon,atmos,Amon,r1i1p1,v20120203,tas,,"a,b"
cmip5.output1.NCAR.CCSM4.midHolocene,mon,atmos,Amon,r1i1p1,v20120604,tas,,b
cmip5.output1.NCAR.CCSM4.piControl,mon,atmos,Amon,r1i1p1,v20160829,tas,,"a,b"
cmip5.output1.UNSW.CSIRO-Mk3L-1-2.1pctCO2,mon,atmos,Amon,r1i1p1,v20170728,tas,,b
cmip5.output1.UNSW.CSIRO-Mk3L-1-2.abrupt4xCO2,mon,atmos,Amon,r1i1p1,v20170728,tas,,b
pmip3.output.FUB.COSMOS-ASO.lgm,mon,atmos,Amon,r1i1p1,v20120503,tas,,"a,b"
pmip3.output.FUB.COSMOS-ASO.piControl,mon,atmos,Amon,r1i1p1,v20120419,tas,,"a,b"
pmip3.output.ICHEC.EC-EARTH-2-2.midHolocene,mon,atmos,Amon,r1i1p1,v20121120,tas,,b
pmip3.output.ICHEC.EC-EARTH-2-2.piControl,mon,atmos,Amon,r1i1p1,v20130128,tas,,b
